"RM Item Desc","Date","Amount (in Rs. Crore)","Prompts_Time1","Sequence"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/07/19 00:00:00","","2002 -07-19","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/07/26 00:00:00","","2002 -07-26","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/08/02 00:00:00","","2002 -08-02","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/08/09 00:00:00","","2002 -08-09","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/08/16 00:00:00","","2002 -08-16","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/08/23 00:00:00","","2002 -08-23","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/08/30 00:00:00","","2002 -08-30","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/09/06 00:00:00","","2002 -09-06","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/09/13 00:00:00","","2002 -09-13","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/09/20 00:00:00","","2002 -09-20","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/09/27 00:00:00","","2002 -09-27","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/10/04 00:00:00","","2002 -10-04","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/10/11 00:00:00","","2002 -10-11","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/10/18 00:00:00","","2002 -10-18","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/10/25 00:00:00","","2002 -10-25","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/11/01 00:00:00","","2002 -11-01","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/11/08 00:00:00","","2002 -11-08","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/11/15 00:00:00","","2002 -11-15","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/11/22 00:00:00","","2002 -11-22","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/11/29 00:00:00","","2002 -11-29","1157"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/01/04 00:00:00","19977","2002 -01-04","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/01/11 00:00:00","16665","2002 -01-11","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/01/18 00:00:00","20175","2002 -01-18","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/01/25 00:00:00","19131","2002 -01-25","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/02/01 00:00:00","18037","2002 -02-01","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/02/08 00:00:00","21381","2002 -02-08","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/02/15 00:00:00","20901","2002 -02-15","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/02/22 00:00:00","19611","2002 -02-22","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/03/01 00:00:00","21838","2002 -03-01","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/03/08 00:00:00","16965","2002 -03-08","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/03/15 00:00:00","21562","2002 -03-15","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/03/22 00:00:00","17869","2002 -03-22","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/03/29 00:00:00","19528","2002 -03-29","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/04/05 00:00:00","10973","2002 -04-05","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/04/12 00:00:00","12356","2002 -04-12","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/04/19 00:00:00","16754","2002 -04-19","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/04/26 00:00:00","14157","2002 -04-26","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/05/03 00:00:00","17757","2002 -05-03","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/05/10 00:00:00","14760","2002 -05-10","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/05/17 00:00:00","14652","2002 -05-17","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/05/24 00:00:00","13658","2002 -05-24","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/05/31 00:00:00","10512","2002 -05-31","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/06/07 00:00:00","9737","2002 -06-07","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/06/14 00:00:00","9801","2002 -06-14","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/06/21 00:00:00","9725","2002 -06-21","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/06/28 00:00:00","10140","2002 -06-28","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/07/05 00:00:00","9486","2002 -07-05","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/07/12 00:00:00","9660","2002 -07-12","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/07/19 00:00:00","9598","2002 -07-19","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/07/26 00:00:00","9675","2002 -07-26","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/08/02 00:00:00","8723","2002 -08-02","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/08/09 00:00:00","8662","2002 -08-09","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/08/16 00:00:00","8802","2002 -08-16","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/08/23 00:00:00","8658","2002 -08-23","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/08/30 00:00:00","9171","2002 -08-30","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/09/06 00:00:00","9408","2002 -09-06","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/09/13 00:00:00","9472","2002 -09-13","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/09/20 00:00:00","9357","2002 -09-20","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/09/27 00:00:00","9731","2002 -09-27","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/10/04 00:00:00","9320","2002 -10-04","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/10/11 00:00:00","9717","2002 -10-11","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/10/18 00:00:00","9804","2002 -10-18","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/10/25 00:00:00","9552","2002 -10-25","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/11/01 00:00:00","9462","2002 -11-01","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/11/08 00:00:00","9334","2002 -11-08","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/11/15 00:00:00","9431","2002 -11-15","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/11/22 00:00:00","8960","2002 -11-22","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2002/11/29 00:00:00","9302","2002 -11-29","1158"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/01/04 00:00:00","11046","2002 -01-04","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/01/11 00:00:00","9056","2002 -01-11","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/01/18 00:00:00","11190","2002 -01-18","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/01/25 00:00:00","11247","2002 -01-25","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/02/01 00:00:00","10128","2002 -02-01","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/02/08 00:00:00","13184","2002 -02-08","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/02/15 00:00:00","12171","2002 -02-15","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/02/22 00:00:00","11775","2002 -02-22","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/03/01 00:00:00","11983","2002 -03-01","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/03/08 00:00:00","10045","2002 -03-08","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/03/15 00:00:00","12723","2002 -03-15","1159"
